[0.000000] (-) TimerEvent: {}
[0.000171] (-) JobUnselected: {'identifier': 'can_debug_tools'}
[0.000240] (-) JobUnselected: {'identifier': 'can_driver'}
[0.000253] (-) JobUnselected: {'identifier': 'common'}
[0.000262] (-) JobUnselected: {'identifier': 'conveyor_interface'}
[0.000319] (-) JobUnselected: {'identifier': 'cpu_interface'}
[0.000331] (-) JobUnselected: {'identifier': 'dynamixel_sdk'}
[0.000338] (-) JobUnselected: {'identifier': 'end_effector_interface'}
[0.000389] (-) JobUnselected: {'identifier': 'joints_interface'}
[0.000400] (-) JobUnselected: {'identifier': 'mcp_can_rpi'}
[0.000407] (-) JobUnselected: {'identifier': 'niryo_end_effector_publisher_gui'}
[0.000518] (-) JobUnselected: {'identifier': 'niryo_moveit_config_standalone'}
[0.000741] (-) JobUnselected: {'identifier': 'niryo_moveit_config_w_gripper1'}
[0.000755] (-) JobUnselected: {'identifier': 'niryo_robot_arm_commander'}
[0.000763] (-) JobUnselected: {'identifier': 'niryo_robot_bringup'}
[0.000769] (-) JobUnselected: {'identifier': 'niryo_robot_description'}
[0.000778] (-) JobUnselected: {'identifier': 'niryo_robot_gazebo'}
[0.000784] (-) JobUnselected: {'identifier': 'niryo_robot_hardware_interface'}
[0.000790] (-) JobUnselected: {'identifier': 'niryo_robot_led_ring'}
[0.000796] (-) JobUnselected: {'identifier': 'niryo_robot_metrics'}
[0.000806] (-) JobUnselected: {'identifier': 'niryo_robot_modbus'}
[0.000812] (-) JobUnselected: {'identifier': 'niryo_robot_msgs'}
[0.000818] (-) JobUnselected: {'identifier': 'niryo_robot_poses_handlers'}
[0.000824] (-) JobUnselected: {'identifier': 'niryo_robot_program_player'}
[0.000876] (-) JobUnselected: {'identifier': 'niryo_robot_programs_manager'}
[0.000887] (-) JobUnselected: {'identifier': 'niryo_robot_programs_manager_v2'}
[0.000895] (-) JobUnselected: {'identifier': 'niryo_robot_python_ros_wrapper'}
[0.001013] (-) JobUnselected: {'identifier': 'niryo_robot_reports'}
[0.001077] (-) JobUnselected: {'identifier': 'niryo_robot_rpi'}
[0.001088] (-) JobUnselected: {'identifier': 'niryo_robot_sound'}
[0.001094] (-) JobUnselected: {'identifier': 'niryo_robot_status'}
[0.001100] (-) JobUnselected: {'identifier': 'niryo_robot_system_api_client'}
[0.001209] (-) JobUnselected: {'identifier': 'niryo_robot_tools_commander'}
[0.001271] (-) JobUnselected: {'identifier': 'niryo_robot_user_interface'}
[0.001282] (-) JobUnselected: {'identifier': 'niryo_robot_utils'}
[0.001289] (-) JobUnselected: {'identifier': 'niryo_robot_vision'}
[0.001296] (-) JobUnselected: {'identifier': 'serial'}
[0.001348] (-) JobUnselected: {'identifier': 'tools_interface'}
[0.001359] (-) JobUnselected: {'identifier': 'ttl_debug_tools'}
[0.001366] (-) JobUnselected: {'identifier': 'ttl_driver'}
[0.001482] (niryo_robot_database) JobQueued: {'identifier': 'niryo_robot_database', 'dependencies': OrderedDict()}
[0.001544] (niryo_robot_database) JobStarted: {'identifier': 'niryo_robot_database'}
