[0.000000] (-) TimerEvent: {}
[0.000477] (-) JobUnselected: {'identifier': 'can_debug_tools'}
[0.000716] (-) JobUnselected: {'identifier': 'can_driver'}
[0.000777] (-) JobUnselected: {'identifier': 'common'}
[0.000789] (-) JobUnselected: {'identifier': 'conveyor_interface'}
[0.000797] (-) JobUnselected: {'identifier': 'cpu_interface'}
[0.000803] (-) JobUnselected: {'identifier': 'end_effector_interface'}
[0.000810] (-) JobUnselected: {'identifier': 'joints_interface'}
[0.001011] (-) JobUnselected: {'identifier': 'mcp_can_rpi'}
[0.001070] (-) JobUnselected: {'identifier': 'niryo_end_effector_publisher_gui'}
[0.001080] (-) JobUnselected: {'identifier': 'niryo_moveit_config_standalone'}
[0.001087] (-) JobUnselected: {'identifier': 'niryo_moveit_config_w_gripper1'}
[0.001094] (-) JobUnselected: {'identifier': 'niryo_robot_arm_commander'}
[0.001100] (-) JobUnselected: {'identifier': 'niryo_robot_bringup'}
[0.001149] (-) JobUnselected: {'identifier': 'niryo_robot_database'}
[0.001160] (-) JobUnselected: {'identifier': 'niryo_robot_description'}
[0.001166] (-) JobUnselected: {'identifier': 'niryo_robot_gazebo'}
[0.001268] (-) JobUnselected: {'identifier': 'niryo_robot_hardware_interface'}
[0.001326] (-) JobUnselected: {'identifier': 'niryo_robot_led_ring'}
[0.001336] (-) JobUnselected: {'identifier': 'niryo_robot_metrics'}
[0.001348] (-) JobUnselected: {'identifier': 'niryo_robot_modbus'}
[0.001885] (-) JobUnselected: {'identifier': 'niryo_robot_msgs'}
[0.001947] (-) JobUnselected: {'identifier': 'niryo_robot_poses_handlers'}
[0.001959] (-) JobUnselected: {'identifier': 'niryo_robot_program_player'}
[0.001966] (-) JobUnselected: {'identifier': 'niryo_robot_programs_manager'}
[0.002094] (-) JobUnselected: {'identifier': 'niryo_robot_programs_manager_v2'}
[0.002166] (-) JobUnselected: {'identifier': 'niryo_robot_python_ros_wrapper'}
[0.002180] (-) JobUnselected: {'identifier': 'niryo_robot_reports'}
[0.002249] (-) JobUnselected: {'identifier': 'niryo_robot_rpi'}
[0.002263] (-) JobUnselected: {'identifier': 'niryo_robot_sound'}
[0.002385] (-) JobUnselected: {'identifier': 'niryo_robot_status'}
[0.002455] (-) JobUnselected: {'identifier': 'niryo_robot_system_api_client'}
[0.002469] (-) JobUnselected: {'identifier': 'niryo_robot_tools_commander'}
[0.002579] (-) JobUnselected: {'identifier': 'niryo_robot_user_interface'}
[0.002649] (-) JobUnselected: {'identifier': 'niryo_robot_utils'}
[0.002662] (-) JobUnselected: {'identifier': 'niryo_robot_vision'}
[0.002833] (-) JobUnselected: {'identifier': 'serial'}
[0.002849] (-) JobUnselected: {'identifier': 'tools_interface'}
[0.002858] (-) JobUnselected: {'identifier': 'ttl_debug_tools'}
[0.002866] (-) JobUnselected: {'identifier': 'ttl_driver'}
[0.002875] (dynamixel_sdk) JobQueued: {'identifier': 'dynamixel_sdk', 'dependencies': OrderedDict({'serial': '/home/leah/ros2_jazzy_ned2/install/serial'})}
[0.002889] (dynamixel_sdk) JobStarted: {'identifier': 'dynamixel_sdk'}
[0.037931] (dynamixel_sdk) JobProgress: {'identifier': 'dynamixel_sdk', 'progress': 'cmake'}
[0.038011] (dynamixel_sdk) JobProgress: {'identifier': 'dynamixel_sdk', 'progress': 'build'}
